Depart;Arriver;Cost
10;20;0.966821886
10;21;0.942956927
10;22;0.938717068
10;23;0.92028136
10;24;0.917104495
10;25;0.950945626
10;26;0.913407821
10;27;0.940974212
10;28;0.969802555
10;29;0.922555116
10;30;0.94596132
10;31;0.926462073
10;32;0.94596165
10;33;0.956876457
10;34;0.913385827
10;35;0.92816092
11;12;0.976314269
11;13;0.905149051
11;14;0.928452579
11;15;0.90204521
11;16;0.976300578
11;17;0.97698504
11;18;0.97698504
11;19;0.978123201
11;20;0.982588508
11;21;0.941887227
11;22;0.948747153
11;23;0.910611303
11;24;0.914121037
11;25;0.933951333
11;26;0.925472747
11;27;0.957690109
11;28;0.986674392
11;29;0.924972004
11;30;0.967007964
11;31;0.930005737
11;32;0.939289805
11;33;0.960161663
11;34;0.91481069
11;35;0.914221219
12;13;0.909733551
12;14;0.925720621
12;15;0.901453958
12;16;0.976851852
12;17;0.975258918
12;18;0.975258918
12;19;0.974123059
12;20;0.97283237
12;21;0.941278066
12;22;0.951484018
12;23;0.916618413
12;24;0.920138889
12;25;0.933333333
12;26;0.927019499
12;27;0.950399088
12;28;0.973502304
12;29;0.924369748
12;30;0.957507082
12;31;0.936059908
12;32;0.939793578
12;33;0.958429561
12;34;0.920626048
12;35;0.911449521
13;14;0.974543442
13;15;0.946831364
13;16;0.91280654
13;17;0.912689805
13;18;0.912689805
13;19;0.911653117
13;20;0.909090909
13;21;0.895024604
13;22;0.914441417
13;23;0.871357889
13;24;0.87575591
13;25;0.885101704
13;26;0.912271259
13;27;0.9082519
13;28;0.903731747
13;29;0.87712766
13;30;0.896846606
13;31;0.890043764
13;32;0.892759935
13;33;0.904918033
13;34;0.908108108
13;35;0.88474026
14;15;0.96332786
14;16;0.931034483
14;17;0.935108153
14;18;0.935108153
14;19;0.934035477
14;20;0.931514477
14;21;0.911879532
14;22;0.928412875
14;23;0.8867713
14;24;0.890196078
14;25;0.901850813
14;26;0.906182213
14;27;0.928452579
14;28;0.926950747
14;29;0.893167028
14;30;0.919628212
14;31;0.906808036
14;32;0.907376595
14;33;0.921962096
14;34;0.922907489
14;35;0.901214128
15;16;0.902425876
15;17;0.909531502
15;18;0.909531502
15;19;0.908503767
15;20;0.903887689
15;21;0.882766072
15;22;0.897904352
15;23;0.861337684
15;24;0.864673913
15;25;0.874932028
15;26;0.880989995
15;27;0.90204521
15;28;0.900644468
15;29;0.87032156
15;30;0.893842887
15;31;0.878853434
15;32;0.884636119
15;33;0.889487871
15;34;0.898876404
15;35;0.877747989
16;17;0.978662053
16;18;0.978662053
16;19;0.977521614
16;20;0.992406542
16;21;0.952491309
16;22;0.953687822
16;23;0.925494761
16;24;0.929028505
16;25;0.93666473
16;26;0.930206588
16;27;0.954831332
16;28;0.984927536
16;29;0.935174746
16;30;0.961931818
16;31;0.943865741
16;32;0.946459413
16;33;0.968641115
16;34;0.918435754
16;35;0.912478826
17;18;1
17;19;0.99884058
17;20;0.980358174
17;21;0.943201377
17;22;0.947816222
17;23;0.917531719
17;24;0.921037464
17;25;0.92861255
17;26;0.935376045
17;27;0.961187215
17;28;0.978723404
